FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_Leng,Shape_Area,GISJOIN_1,STATE,COUNTY,NAME_E,TOT_POP,COLL_AGE,YNG_PROF,SENIOR,MED_AGE,R_WHITE,NON_WH,R_BLACK,R_NAT_A,R_ASIAN,R_PACIF,R_OTHER,R_2,R_2INCO,R_2_EXCO,TOT_WKRS,T0_9,T10_14,T15_19,T20_24,T25_29,T30_34,T35_44,T45_59,T60,DR_ALONE,CARPOOL,TRANSIT,TR0_9,TR10_14,TR15_19,TR20_24,TR25_29,TR30_34,TR35_44,TR45_59,TR60,WALK,TOT_HSHD,MED_INC,TPOP18,TOT_DIS,OC_UNITS,ZERO_VEH,Lat,Long,TOWN,Neighborhood,Place_Label,Town
0,25,21,422302,2,2.50214E+11,Block Group 2,G5030,S,345359,0,42.1865194,-70.9418776,G25002104223022,3135.109579,345358.1902,G25002104223022,Massachusetts,Norfolk County,"Block Group 2, Census Tract 4223.02, Norfolk County, Massachusetts",914,0,121,149,41.5,766,274,22,0,0,0,0,126,0,126,478,0,29,88,23,0,62,116,50,110,424,27,27,0,0,0,0,0,0,0,0,27,0,513,64766,738,85,513,15,42.18651937,42.18651937,WEYMOUTH,,Weymouth,Weymouth
1,25,21,443102,1,2.50214E+11,Block Group 1,G5030,S,6958987,274480,42.0648773,-71.4698747,G25002104431021,14683.05357,7233469.822,G25002104431021,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4431.02, Norfolk County, Massachusetts",1758,77,286,146,42.2,1694,64,27,0,19,0,18,0,0,0,1027,48,115,90,63,14,58,217,221,201,944,19,64,0,0,0,0,0,0,0,24,40,0,743,79760,1358,117,743,0,42.06815084,42.06815084,BELLINGHAM,,Bellingham,Bellingham
2,25,21,410400,1,2.50214E+11,Block Group 1,G5030,S,1920160,2941,42.0787615,-71.2284229,G25002104104001,6656.299284,1923100.32,G25002104104001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4104, Norfolk County, Massachusetts",1064,31,16,132,45.4,1033,48,0,0,14,0,0,17,0,17,482,69,27,88,27,25,41,28,94,83,397,28,57,0,0,0,0,0,0,0,14,43,0,379,110089,757,62,379,0,42.07830866,42.07830866,FOXBOROUGH,,Foxborough,Foxborough
3,25,21,417501,2,2.50214E+11,Block Group 2,G5030,S,264921,837760,42.2816909,-71.0184909,G25002104175012,2130.430548,264922.5469,G25002104175012,Massachusetts,Norfolk County,"Block Group 2, Census Tract 4175.01, Norfolk County, Massachusetts",1366,102,109,203,40.2,823,602,0,0,402,0,82,59,59,0,666,44,131,54,58,95,52,24,149,59,406,78,148,0,0,0,0,47,0,14,71,16,0,475,76036,1051,101,475,15,42.28219915,42.28219915,QUINCY,,Quincy,Quincy
4,25,21,418101,3,2.50214E+11,Block Group 3,G5030,S,168921,0,42.2502696,-71.0068456,G25002104181013,1713.891397,168921.1426,G25002104181013,Massachusetts,Norfolk County,"Block Group 3, Census Tract 4181.01, Norfolk County, Massachusetts",859,31,247,137,29.8,478,381,230,0,151,0,0,0,0,0,365,37,39,0,14,58,76,28,19,94,246,0,119,0,0,0,0,0,14,28,19,58,0,374,59511,613,46,374,101,42.25026966,42.25026966,QUINCY,,Quincy,Quincy
5,25,21,403400,1,2.50214E+11,Block Group 1,G5030,S,6173658,297178,42.2770336,-71.2759315,G25002104034001,13447.90962,6470837.139,G25002104034001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4034, Norfolk County, Massachusetts",1620,38,143,271,43.7,1194,536,26,0,276,0,14,110,0,110,711,26,75,46,123,43,145,97,112,44,608,53,50,0,0,0,0,0,0,0,23,27,0,500,212000,1196,56,500,0,42.27488025,42.27488025,NEEDHAM,,Needham,Needham
6,25,21,413100,1,2.50214E+11,Block Group 1,G5030,S,6929311,139026,42.1876002,-71.1702287,G25002104131001,15251.02627,7068340.709,G25002104131001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4131, Norfolk County, Massachusetts",1382,11,158,324,44.7,1235,207,64,0,23,0,0,60,0,60,720,98,67,49,96,117,124,41,67,61,592,96,32,0,0,0,0,0,0,0,16,16,0,476,103816,1053,103,476,0,42.19225388,42.19225388,NORWOOD,,Norwood,Norwood
7,25,21,423100,6,2.50214E+11,Block Group 6,G5030,S,4180198,31643,42.2504695,-70.835442,G25002104231006,12652.28956,4211842.306,G25002104231006,Massachusetts,Norfolk County,"Block Group 6, Census Tract 4231, Norfolk County, Massachusetts",1729,99,164,96,37.4,1698,47,0,0,0,0,15,16,16,0,860,99,101,105,38,14,129,35,145,194,634,59,167,0,0,21,0,0,0,0,31,115,0,525,206250,1151,17,525,0,42.2493588,42.2493588,COHASSET,,Cohasset,Cohasset
8,25,21,423100,4,2.50214E+11,Block Group 4,G5030,S,4398261,54127859,42.262428,-70.7988829,G25002104231004,23540.89746,4593035.775,G25002104231004,Massachusetts,Norfolk County,"Block Group 4, Census Tract 4231, Norfolk County, Massachusetts",2305,0,170,238,41.5,2245,120,0,0,0,0,0,60,0,60,796,96,54,83,49,13,25,85,31,360,546,0,233,0,0,21,0,0,0,74,19,119,17,741,122309,1468,87,741,15,42.25423379,42.25423379,COHASSET,,Cohasset,Cohasset
9,25,21,405100,4,2.50214E+11,Block Group 4,G5030,S,12298724,268473,42.2371829,-71.252256,G25002104051004,16869.13166,12567200.11,G25002104051004,Massachusetts,Norfolk County,"Block Group 4, Census Tract 4051, Norfolk County, Massachusetts",874,19,43,169,45.4,729,212,0,9,69,0,0,67,0,67,297,8,19,57,48,9,49,8,53,46,254,0,35,0,0,0,0,0,0,0,35,0,8,295,170694,593,27,295,0,42.23767879,42.23767879,DOVER,,Dover,Dover
