Place,TOWN,Max_of_MED_INC,Min_of_MED_INC,Max_of_MED_AGE,Min_of_MED_AGE,ALAND,TOT_POP,COLL_AGE,YNG_PROF,SENIOR,R_WHITE,NON_WH,R_BLACK,R_NAT_A,R_ASIAN,R_PACIF,R_OTHER,R_2,R_2INCO,R_2_EXCO,TOT_WKRS,T0_9,T10_14,T15_19,T20_24,T25_29,T30_34,T35_44,T45_59,T60,DR_ALONE,CARPOOL,TRANSIT,TR0_9,TR10_14,TR15_19,TR20_24,TR25_29,TR30_34,TR35_44,TR45_59,TR60,WALK,TOT_HSHD,TPOP18,TOT_DIS,OC_UNITS,ZERO_VEH
Acton,Acton,194196,70313,54.7,33.5,51450928,22614,741,2108,2560,17245,5855,156,33,4673,0,21,486,28,458,10599,952,1135,748,839,644,1274,1708,1422,1877,9044,683,595,0,0,0,0,0,0,20,72,503,176,8489,16362,1474,8489,310
Agassiz,Cambridge,113194,39444,36.3,21,787541,5302,1365,1762,396,3842,1709,324,12,557,7,311,249,6,243,2652,276,737,284,251,152,413,168,243,128,723,142,683,6,18,31,84,28,235,74,176,31,924,1671,3024,140,1671,444
Allston/Brighton,Boston,101736,12022,60.5,20,10610821,64775,14178,26635,6295,46539,20438,3598,95,10311,19,2011,2202,409,1793,33203,2031,2616,3667,4300,2170,6843,4128,4369,3079,12984,1693,12038,76,100,384,781,392,3125,2236,2850,2094,5152,26372,51664,5619,26372,9970
Area 2/MIT,Cambridge,78750,78750,21.9,20,901795,4712,2888,1449,77,2728,2262,268,2,1335,0,101,278,58,220,1759,625,486,257,148,28,81,45,67,22,243,60,92,0,31,10,8,4,22,0,6,11,1174,284,558,4,284,111
Arlington,Arlington,166250,38269,62.1,28.3,13328022,43728,701,7130,6634,37258,7667,929,129,3931,0,284,1197,167,1030,22556,976,1974,2407,3384,2059,3811,2481,3511,1953,15674,1419,4215,22,144,122,207,44,456,549,1446,1225,442,18726,34209,3392,18726,1773
Ashby,Ashby,84659,82386,47.6,45,61389139,3147,177,380,420,3089,62,17,0,37,0,0,4,4,0,1646,118,138,235,341,107,196,126,169,216,1590,25,7,0,0,0,0,0,0,0,0,7,19,1073,2522,279,1073,29
Ashland,Ashland,157054,51875,56.2,37.1,31933899,16985,680,2438,2175,14684,2582,482,0,1246,0,292,281,140,141,8856,642,715,987,1395,439,1057,995,1595,1031,7526,821,197,0,0,0,0,0,14,14,28,141,191,6560,12990,1236,6560,206
Avon,Avon,106131,64107,50,38,11113467,4421,248,641,753,3487,981,601,14,222,0,50,47,10,37,2355,393,269,363,174,127,328,167,249,285,2029,216,62,0,0,0,6,0,6,0,10,40,37,1636,3565,551,1636,117
Ayer,Ayer,111490,42074,48.1,35.3,23094773,7716,399,1288,951,6864,1195,251,5,228,0,25,343,22,321,3633,575,480,328,427,74,340,482,589,338,3162,200,158,56,0,0,0,0,0,0,16,86,88,3229,6056,678,3229,171
Back Bay,Boston,148523,14521,64.7,26.3,1427409,18914,1542,7159,3068,16073,3095,674,16,1676,0,221,254,23,231,10682,999,1491,1736,1915,879,1634,843,732,453,3440,282,2882,43,16,459,597,286,747,284,250,200,3590,10725,16425,1189,10725,4685
Bay Village,Boston,116250,2499,30.4,20.1,217289,3949,1789,662,465,2515,1567,42,0,1248,0,11,133,42,91,1674,357,314,227,149,41,425,2,78,81,282,86,292,43,8,3,59,10,95,0,40,34,965,1283,1932,170,1283,810
Beacon Hill,Boston,103038,63077,42.8,26.7,731962,9097,251,4857,974,8106,1066,180,0,660,0,76,75,19,56,6216,327,1058,1304,1174,537,721,368,491,236,1068,19,1488,0,116,123,157,180,464,130,173,145,3436,5485,8351,324,5485,3355
Bedford,Bedford,180804,71204,49.8,26.9,35375294,13788,472,1545,2260,11605,2452,218,0,1561,0,135,269,7,262,5920,645,789,795,743,325,996,517,809,301,5186,474,108,0,0,0,0,0,0,0,27,81,68,5012,9883,922,5012,255
Bellingham,Bellingham,126397,61176,45.7,34.5,47523261,16564,778,2587,1987,15676,1039,102,0,512,0,123,151,0,151,8773,886,946,1110,864,508,964,744,1351,1400,8014,319,218,0,0,37,0,0,0,0,24,157,170,6162,13016,1474,6162,139
Belmont,Belmont,236875,47721,51.5,32.1,12045932,25173,812,3577,3924,20734,4991,593,27,3054,4,209,552,98,454,11402,1088,1208,1288,1611,853,2199,1127,1218,810,7942,959,1841,23,25,16,144,11,348,328,543,403,287,9292,18796,1458,9292,445
Billerica,Billerica,130560,43750,55.8,28.9,66215815,41446,1833,7069,5380,37708,4384,710,12,1978,0,392,646,333,313,21457,2074,2384,2851,3270,1210,3532,1557,2505,2074,19182,1453,593,0,17,29,47,0,14,58,81,347,107,14435,31671,3336,14435,541
Boxborough,Boxborough,157891,52134,47.6,34.1,26640089,5102,172,695,529,4008,1164,19,0,995,0,10,70,0,70,2427,360,187,400,144,118,286,279,325,328,2024,216,74,0,0,0,0,11,0,0,10,53,76,2101,3855,153,2101,16
Braintree,Braintree,117292,36176,54.6,31.1,35608905,36543,1751,5891,5879,30921,6243,1739,11,2849,0,402,621,49,572,17963,1909,2220,1848,2185,562,2571,1279,2532,2857,13653,1494,2473,0,22,0,62,26,188,208,862,1105,139,13226,27908,3708,13226,1082
Brookline,Brookline,241563,23264,51.4,22.6,17483426,59016,4344,14276,8829,45785,14609,1591,34,9637,3,588,1378,122,1256,28852,1559,2404,4047,4738,2176,5523,3122,3247,2036,12355,1721,8297,16,43,207,648,458,2379,1708,1834,1004,4919,25408,46658,3948,25408,6266
Burlington,Burlington,133141,68155,51,36.8,30392547,25190,897,4171,4497,20137,5557,933,0,3553,20,43,504,101,403,12314,1173,1871,2047,1726,664,1255,1024,1366,1188,10556,1135,397,0,6,0,0,0,10,61,80,240,131,9423,19813,2543,9423,542
Cambridge Highlands,Cambridge,79118,79118,59.1,59.1,764843,738,0,133,304,636,140,16,2,46,0,0,38,0,38,344,15,64,62,94,25,26,14,12,32,264,0,47,0,0,0,8,10,14,0,0,15,18,394,595,26,394,0
Cambridgeport,Cambridge,110875,19909,45,26.9,2284371,12104,760,5495,1035,8210,4588,1391,15,1709,0,85,694,42,652,7130,876,955,1087,1183,617,1238,464,418,292,1549,231,2428,32,95,209,488,374,685,186,249,110,2162,5034,9161,875,5034,1562
Canton,Canton,118750,44375,48.3,34,48682870,22036,804,3063,4021,18644,3815,1389,0,1477,0,103,423,95,328,10425,515,733,1037,1085,465,1698,1522,1724,1646,8062,705,1534,1,0,0,56,26,381,293,444,333,95,8873,16707,2203,8873,539
Carlisle,Carlisle,172857,146375,49.3,47.3,39536102,4967,141,216,777,4356,773,50,9,382,0,8,162,49,113,1909,94,196,188,255,113,221,314,241,287,1723,110,14,0,0,0,0,0,0,0,14,0,16,1724,3650,330,1724,9
Charlestown,Boston,144063,10163,48,20.2,3502777,17954,472,5540,1781,13567,4707,1775,0,1514,0,778,320,86,234,9867,579,723,1258,1750,669,1917,985,839,1147,4904,651,2795,75,20,340,460,61,603,332,403,501,1271,8392,14483,1538,8392,2172
Chelmsford,Chelmsford,132813,52455,52.8,38.6,57938373,34495,985,4817,6032,30949,3809,152,79,2798,0,254,263,83,180,16977,1370,2100,2128,2459,1055,2641,1469,1665,2090,15274,949,557,0,0,11,24,0,61,19,33,409,125,13838,27099,3268,13838,714
Chelsea,Chelsea,75990,17353,45.1,19.3,5132196,35506,1855,9019,3037,17257,29547,2324,84,1174,0,3369,11298,235,11063,16685,1493,1907,1765,2270,718,3392,1621,1133,2386,7449,2790,4475,22,159,318,301,90,1073,394,591,1527,1466,11350,25825,3597,11350,3430
Chinatown,Boston,23750,9879,52.8,25.8,165048,3503,321,1313,334,779,2766,158,0,2423,0,101,42,0,42,1622,321,245,204,143,121,222,114,149,103,161,254,417,0,39,23,24,67,109,20,75,60,772,1587,3145,386,1587,1001
Cohasset,Cohasset,206250,86500,50.3,37.4,22709009,6983,211,602,1011,6874,187,16,0,0,0,15,78,16,62,3034,395,357,379,171,147,264,198,231,892,2379,114,524,0,0,42,0,0,0,106,50,326,17,2438,4946,366,2438,137
Concord,Concord,232250,89000,56.5,36.9,63516003,18834,401,1590,3586,16349,2986,583,3,1008,0,390,501,45,456,6760,655,708,643,635,472,768,904,776,1199,5382,439,571,0,0,0,0,0,0,44,94,433,263,6734,12623,1282,6734,431
Davis Square,Somerville,108529,108529,31.7,31.7,199638,1365,0,771,104,1241,161,0,0,87,0,0,37,0,37,1020,9,48,34,125,67,376,107,155,99,269,20,641,0,0,0,90,49,222,90,117,73,43,698,1280,57,698,235
Dedham,Dedham,136429,22679,52.6,35.4,27361752,25890,819,3924,4913,22358,4037,1544,38,1040,0,405,505,50,455,12089,955,1225,1611,1607,827,2003,1139,1708,1014,9468,1180,1013,6,0,9,94,67,133,124,317,263,345,10178,19619,2514,10178,770
Dorchester,Boston,115909,15114,52.2,24.1,15022746,92500,5785,22486,9130,28967,67009,35775,491,12478,0,11313,3476,1256,2220,43218,2212,3648,4203,5560,2521,9421,3859,6065,5729,20950,4179,15322,28,228,422,1047,777,3366,2073,3432,3949,1990,31982,71744,11963,31982,9218
Dover,Dover,209464,170625,48.7,43.5,39156780,5727,228,316,904,4972,844,204,9,453,0,0,89,0,89,2322,141,237,148,300,96,304,240,512,344,1961,115,156,0,0,0,0,0,19,0,119,18,48,1909,3980,206,1909,10
Dracut,Dracut,133750,45855,63.2,30.8,53445560,30350,1246,5175,3889,26847,4039,877,20,1511,0,559,536,175,361,15816,1431,1925,1304,2165,969,2837,1628,1881,1676,14205,1183,173,0,0,0,0,0,0,23,57,93,144,10968,23261,3114,10968,504
Dunstable,Dunstable,129205,104250,45.3,45.2,42620557,3299,140,230,406,3131,218,0,0,108,0,10,50,0,50,1546,89,131,150,259,135,172,193,233,184,1462,53,13,0,0,0,0,0,0,0,13,0,5,1140,2432,181,1140,4
East Boston,Boston,99663,12652,62.9,27.3,11740884,44512,2106,11991,3841,27442,28103,1826,416,1570,26,2199,11033,495,10538,23449,1129,1731,2712,3154,1292,5517,2156,2132,3626,6425,1773,13841,23,356,980,1747,804,3789,1669,1427,3046,1140,15453,35124,5504,15453,5871
East Cambridge,Cambridge,104464,35862,46.4,25.4,1664083,10223,635,4011,1398,6497,4212,688,4,2320,7,221,486,95,391,5390,391,859,785,960,357,916,482,401,239,1546,235,1831,0,75,167,382,188,550,159,165,145,1501,5465,9117,894,5465,1830
